,Actual Names,NGC_names,Mel_names,M_names,Common_name
0,Mel12,NGC752,Mel12,,
1,NGC2632,NGC2632,Mel88,M44,Beehive
2,NGC2168,NGC2168,,M35,
3,NGC2099,NGC2099,,M37,
4,NGC1746,NGC1746,,,
5,NGC1039,NGC1039,,M34,
6,NGC1647,NGC1647,,,
7,NGC2183,NGC2183,,,
8,NGC1912,NGC1912,,M38,
9,NGC2281,NGC2281,,,
10,NGC2420,NGC2420,Mel69,,
11,NGC2158,NGC2158,Mel40,,
12,NGC869,NGC869,Mel13,,HPersei
13,NGC1662,NGC1662,,,
14,NGC1528,NGC1528,,,
15,NGC2252,NGC2252,,,
16,NGC1960,NGC1960,,M36,
17,NGC6205,NGC6205,,M13,Hercules
18,NGC6819,NGC6819,Mel223,,Foxhead
19,NGC5272,NGC5272,Mel119,M3,
20,M107,NGC6171,,M107,
21,M15,NGC7078,,M15,
22,M2,NGC7089,,M2,
23,M5,NGC5904,,M5,
24,M53,NGC5024,,M53,
25,M67,NGC2682,,M67,
26,M71,NGC6838,,M71,
27,M92,NGC6341,,M92,
28,NGC1245,NGC5145,Mel18,,
29,NGC1798,NGC1798,,,
30,NGC188,NGC188,Mel2,,
31,NGC2243,NGC2243,Mel46,,
32,NGC4147,NGC4147,,,
33,NGC5466,NGC5466,,,
34,NGC6791,NGC6791,,,
35,NGC6811,NGC6811,Mel222,,
36,NGC7789,NGC7789,Mel245,,
37,Mel14,NGC884,Mel14,,ChiPersei
38,NGC2532,NGC2532,,,
39,NGC2808,NGC2808,,,
40,NGC0104,NGC0104,Mel1,,47Tuc
41,NGC1904,NGC1904,,M79,
42,NGC1851,NGC1851,,,
43,NGC6266,NGC6266,,M62,
44,NGC5139,NGC5139,,,OmeCen
45,NGC3201,NGC3201,,,
46,NGC0362,NGC0362,Mel4,,
47,NGC5286,NGC5286,,,
48,NGC6218,NGC6218,,M12,
49,NGC6093,NGC6093,,M80,
50,NGC6254,NGC6254,,M10,
51,NGC6293,NGC6293,,,
52,NGC6388,NGC6388,,,
53,NGC6522,NGC6522,,,
54,NGC6441,NGC6441,,,
55,NGC6541,NGC6541,,,
56,NGC6624,NGC6624,,,
57,NGC6656,NGC6656,,M22,
58,NGC6681,NGC6681,,M70,
59,NGC6752,NGC6752,,,
60,NGC7099,NGC7099,,M30,
61,NGC457,NGC457,,,ET
62,NGC1502,NGC1502,,,
63,NGC2244,NGC2244,,,
64,NGC2362,NGC2362,,,TauCMa
65,NGC2384,NGC2384,,,
66,NGC2422,NGC2422,,M47,
67,NGC2467,NGC2467,,,
68,NGC3293,NGC3293,Mel100,,
69,NGC4755,NGC4755,Mel144,,JewelBox
70,NGC6193,NGC6193,,,
71,NGC7160,NGC7160,,,
72,NGC1261,NGC1261,,,
73,NGC6139,NGC6139,,,
74,NGC6362,NGC6362,,,
75,NGC6397,NGC6397,,,
76,NGC6712,NGC6712,,,
77,Mel25,,Mel25,,Hiades
78,Basel11B,,,,Basel11b
79,Basel4,,,,
80,Waterloo2,,,,
81,Berkeley71,,,,
82,Berkeley32,,,,
83,Berkeley17,,,,
84,Berkeley29,,,,
85,Berkeley53,,,,
86,Berkeley66,,,,
87,FSR0494,,,,
88,IC166,,,,
89,King5,,,,
90,King7,,,,
91,Pleiades,,Mel22,M45,Pleiades
92,Teutsch51,,,,
93,IC2395,,,,
94,Berkeley86,,,,
95,IC1805,,Mel15,,AFGL333
96,IC2944,,,,lamCen
97,Trumpler14,,,,
98,CR228,,,,
99,Trumpler16,,,,
100,Pal13,,,,
