Mel_ID,NGC_ID,Messier_ID,Other_ID,Type,RA,DEC,GLON (l),GLAT (b),Parallax (mas),PM_ra (mas/yr),PM_dec (mas/yr),Members,Magnitud,(B-V)
Mel12,NGC752,,,Open,29.22,37.19,136.9588,-23.2884,2.23,9.8092,-11.7637,296,5.7,0.77
Mel25,,,Hyades,Open,67.45,16.95,179.6276,-21.1243,21.052,104.92,-28.00,396,0.5,
Mel52,NGC2287,M41,Cumulo de la Pequeña Colmena,Open,101.5,-20.72,230.9800,-10.4316,1.36,-4.339,-1.381,627,4.5,0.39
Mel88,NGC2632,M44,Cumulo del Pesebre,Open,130.05,19.62,205.9525,32.4278,5.371,-36.047,-12.917,830,3.1,0.36
Mel94,NGC2682,M67,Cumulo del Ojo Dorado,Open,132.85,11.81,215.69,31.2908,1.1325,-10.9737,-2.9396,1097,6.9,0.77
Mel13,NGC869,,H Persei,Open,34.74,57.13,134.6257,-3.7372,0.3942,-0.6943,-1.0831,600,3.8,0.5
Mel14,NGC884,,X Persei,Open,34.74,57.15,135.0518,-3.5683,0.3976,-0.6021,-1.0616,600,3.8,0.6
Mel65,NGC2362,,Cumulo Joyas del Pirata,Open,109.67,-24.95,238.1781,-5.5476,0.742,-2.791,2.953,22608,4.1,
Mel47,NGC2244,,Cumulo del Arpa,Open,98.05,4.91,206.3607,-2.0265,0.617,-1.598,0.179,53629,4.8,0.46
Mel168,NGC6341,M92,,Globular,259.28,43.14,68.3384,34.58891,0.112,-4.935,-0.625,1708,6.5,
Mel119,NGC5272,M3,,Globular,205.55,28.38,42.21695,78.70685,0.110,-0.14,-2.64,1854,6.3,
Mel133,NGC5904,M5,,Globular,229.64,2.08,3.85873,46.79637,0.141,4.06,-9.89,2255,5.7,1.64
Mel151,NGC6218,M12,Cumulo Rosa,Globular,251.81,-1.95,15.7152,26.31328,0.208,-0.15,-6.77,3106,6.1,2.42
Mel150,NGC6205,M13,Cumulo Gumball,Globular,250.42,36.46,59.009475,40.911761,0.127,-3.18,-2.56,4171,5.80,
Mel237,NGC7099,M30,Cumulo Medusa,Globular,325.09,-23.17,27.17915,-46.83551,0.136,-0.73,-7.24,25202,6.9,
Mel22,,M45,Pleyades,Open,56.60,24.11,166.4628,-23.6146,7.364,19.997,-45.548,913,1.2,
,NGC6823,,Cumulo de la Estrella escultora de nubes,Open,295.79,23.32,59.4231,-0.1387,0.446,-1.697,-5.304,168349,7.10,0.61
Mel213,NGC6705,M11,Cumulo del Pato salvaje,Open,282.77,-6.27,27.3031,-2.7726,0.427,-1.568,-4.144,127311,5.80,0.52
